Student_ID,Class,Section,Month,Monthly_Fee,Amount_Paid,Payment_Status
1017,1,A,May,2680,2657,Unpaid
1017,1,A,August,2680,2680,Paid
1017,1,A,September,2680,2680,Paid
1017,1,A,October,2680,2680,Paid
1017,1,A,November,2680,1379,Unpaid
1017,1,A,December,2680,2680,Paid
1017,1,A,January,2680,2680,Paid
1017,1,A,February,2680,2680,Paid
1017,1,A,March,2680,2680,Paid
1018,1,B,April,4085,3816,Unpaid
1018,1,B,May,4085,4085,Paid
1018,1,B,August,4085,226,Unpaid
1018,1,B,September,4085,4085,Paid
1018,1,B,October,4085,4085,Paid
1018,1,B,November,4085,4085,Paid
1018,1,B,December,4085,4085,Paid
1018,1,B,January,4085,4085,Paid
1018,1,B,February,4085,372,Unpaid
1018,1,B,March,4085,3875,Unpaid
1019,1,B,April,3577,1559,Unpaid
1019,1,B,May,3577,3424,Unpaid
1019,1,B,August,3577,3577,Paid
1019,1,B,September,3577,859,Unpaid
1019,1,B,October,3577,568,Unpaid
1019,1,B,November,3577,3577,Paid
1019,1,B,December,3577,3577,Paid
1019,1,B,January,3577,2138,Unpaid
1019,1,B,February,3577,3577,Paid
1019,1,B,March,3577,3577,Paid
1020,1,B,April,4369,2929,Unpaid
1020,1,B,May,4369,2223,Unpaid
1020,1,B,August,4369,4369,Paid
1020,1,B,September,4369,1884,Unpaid
1020,1,B,October,4369,542,Unpaid
1020,1,B,November,4369,4369,Paid
1020,1,B,December,4369,832,Unpaid
1020,1,B,January,4369,4369,Paid
1020,1,B,February,4369,1580,Unpaid
1020,1,B,March,4369,4369,Paid
1021,1,B,April,2808,240,Unpaid
1021,1,B,May,2808,2467,Unpaid
1021,1,B,August,2808,2808,Paid
1021,1,B,September,2808,1937,Unpaid
1021,1,B,October,2808,1899,Unpaid
1021,1,B,November,2808,865,Unpaid
1021,1,B,December,2808,1934,Unpaid
1021,1,B,January,2808,2808,Paid
1021,1,B,February,2808,616,Unpaid
1021,1,B,March,2808,193,Unpaid
1022,1,B,April,3534,282,Unpaid
1022,1,B,May,3534,481,Unpaid
1022,1,B,August,3534,3534,Paid
1022,1,B,September,3534,3534,Paid
1022,1,B,October,3534,267,Unpaid
1022,1,B,November,3534,3534,Paid
1022,1,B,December,3534,3534,Paid
1022,1,B,January,3534,2917,Unpaid
1022,1,B,February,3534,3534,Paid
1022,1,B,March,3534,3534,Paid
1023,1,A,April,4172,1254,Unpaid
1023,1,A,May,4172,402,Unpaid
1023,1,A,August,4172,3424,Unpaid
1023,1,A,September,4172,4172,Paid
1023,1,A,October,4172,774,Unpaid
1023,1,A,November,4172,4172,Paid
1023,1,A,December,4172,4172,Paid
1023,1,A,January,4172,4172,Paid
1023,1,A,February,4172,4172,Paid
1023,1,A,March,4172,4172,Paid
1024,1,A,April,4207,4207,Paid
1024,1,A,May,4207,4175,Unpaid
1024,1,A,August,4207,1021,Unpaid
1024,1,A,September,4207,652,Unpaid
1024,1,A,October,4207,4207,Paid
1024,1,A,November,4207,4207,Paid
1024,1,A,December,4207,2729,Unpaid
1024,1,A,January,4207,4207,Paid
1024,1,A,February,4207,4207,Paid
1024,1,A,March,4207,1889,Unpaid
1025,1,B,April,4440,4440,Paid
1025,1,B,May,4440,4440,Paid
1025,1,B,August,4440,3758,Unpaid
1025,1,B,September,4440,3409,Unpaid
1025,1,B,October,4440,4440,Paid
1025,1,B,November,4440,3667,Unpaid
1025,1,B,December,4440,294,Unpaid
1025,1,B,January,4440,4440,Paid
1025,1,B,February,4440,4440,Paid
1025,1,B,March,4440,280,Unpaid
1026,1,B,April,3580,1597,Unpaid
1026,1,B,May,3580,844,Unpaid
1026,1,B,August,3580,3580,Paid
1026,1,B,September,3580,917,Unpaid
1026,1,B,October,3580,3580,Paid
1026,1,B,November,3580,3580,Paid
1026,1,B,December,3580,3580,Paid
1026,1,B,January,3580,1476,Unpaid
1026,1,B,February,3580,737,Unpaid
1026,1,B,March,3580,3499,Unpaid
1027,1,A,April,3718,1145,Unpaid
1027,1,A,May,3718,2170,Unpaid
1027,1,A,August,3718,140,Unpaid
1027,1,A,September,3718,3718,Paid
1027,1,A,October,3718,729,Unpaid
1027,1,A,November,3718,275,Unpaid
1027,1,A,December,3718,3253,Unpaid
1027,1,A,January,3718,3718,Paid
1027,1,A,February,3718,553,Unpaid
1027,1,A,March,3718,3718,Paid
1028,1,B,April,3021,3021,Paid
1028,1,B,May,3021,3021,Paid
1028,1,B,August,3021,3021,Paid
1028,1,B,September,3021,2664,Unpaid
1028,1,B,October,3021,3021,Paid
1028,1,B,November,3021,1461,Unpaid
1028,1,B,December,3021,3021,Paid
1028,1,B,January,3021,732,Unpaid
1028,1,B,February,3021,3021,Paid
1028,1,B,March,3021,3021,Paid
1029,1,A,April,3368,3368,Paid
1029,1,A,May,3368,2977,Unpaid
1029,1,A,August,3368,1037,Unpaid
1029,1,A,September,3368,1373,Unpaid
1029,1,A,October,3368,67,Unpaid
1029,1,A,November,3368,3368,Paid
1029,1,A,December,3368,402,Unpaid
1029,1,A,January,3368,3368,Paid
1029,1,A,February,3368,3368,Paid
1029,1,A,March,3368,3368,Paid
1030,1,B,April,3285,94,Unpaid
1030,1,B,May,3285,1879,Unpaid
1030,1,B,August,3285,1980,Unpaid
1030,1,B,September,3285,3285,Paid
1030,1,B,October,3285,1326,Unpaid
1030,1,B,November,3285,2503,Unpaid
1030,1,B,December,3285,130,Unpaid
1030,1,B,January,3285,3285,Paid
1030,1,B,February,3285,1289,Unpaid
1030,1,B,March,3285,3285,Paid
1031,1,A,April,4028,4028,Paid
1031,1,A,May,4028,3427,Unpaid
1031,1,A,August,4028,1074,Unpaid
1031,1,A,September,4028,4028,Paid
1031,1,A,October,4028,4028,Paid
1031,1,A,November,4028,4028,Paid
1031,1,A,December,4028,2817,Unpaid
1031,1,A,January,4028,1302,Unpaid
1031,1,A,February,4028,2352,Unpaid
1031,1,A,March,4028,3811,Unpaid
1032,1,B,April,4642,3978,Unpaid
1032,1,B,May,4642,2717,Unpaid
1032,1,B,August,4642,2115,Unpaid
1032,1,B,September,4642,4642,Paid
1032,1,B,October,4642,4642,Paid
1032,1,B,November,4642,4642,Paid
1032,1,B,December,4642,130,Unpaid
1032,1,B,January,4642,2397,Unpaid
1032,1,B,February,4642,4642,Paid
1032,1,B,March,4642,1260,Unpaid
1033,1,A,April,4539,4539,Paid
1033,1,A,May,4539,4539,Paid
1033,1,A,August,4539,4539,Paid
1033,1,A,September,4539,3318,Unpaid
1033,1,A,October,4539,4539,Paid
1033,1,A,November,4539,4539,Paid
1033,1,A,December,4539,1440,Unpaid
1033,1,A,January,4539,1179,Unpaid
1033,1,A,February,4539,3700,Unpaid
1033,1,A,March,4539,4539,Paid
1034,1,A,April,4120,4120,Paid
1034,1,A,May,4120,4120,Paid
1034,1,A,August,4120,4120,Paid
1034,1,A,September,4120,2106,Unpaid
1034,1,A,October,4120,4120,Paid
1034,1,A,November,4120,3384,Unpaid
1034,1,A,December,4120,2817,Unpaid
1034,1,A,January,4120,4120,Paid
1034,1,A,February,4120,4120,Paid
1034,1,A,March,4120,3601,Unpaid
1035,1,B,April,2682,2682,Paid
1035,1,B,May,2682,2682,Paid
1035,1,B,August,2682,2682,Paid
1035,1,B,September,2682,2682,Paid
1035,1,B,October,2682,2682,Paid
1035,1,B,November,2682,2682,Paid
1035,1,B,December,2682,360,Unpaid
1035,1,B,January,2682,841,Unpaid
1035,1,B,February,2682,2682,Paid
1035,1,B,March,2682,2682,Paid
1036,1,A,April,3416,3416,Paid
1036,1,A,May,3416,1444,Unpaid
1036,1,A,August,3416,1485,Unpaid
1036,1,A,September,3416,443,Unpaid
1036,1,A,October,3416,3039,Unpaid
1036,1,A,November,3416,3416,Paid
1036,1,A,December,3416,3416,Paid
1036,1,A,January,3416,3416,Paid
1036,1,A,February,3416,3416,Paid
1036,1,A,March,3416,3416,Paid
1037,1,A,April,2930,2449,Unpaid
1037,1,A,May,2930,2930,Paid
1037,1,A,August,2930,1552,Unpaid
1037,1,A,September,2930,2930,Paid
1037,1,A,October,2930,2930,Paid
1037,1,A,November,2930,2891,Unpaid
1037,1,A,December,2930,1286,Unpaid
1037,1,A,January,2930,1311,Unpaid
1037,1,A,February,2930,1767,Unpaid
1037,1,A,March,2930,332,Unpaid
1038,1,A,April,3284,1896,Unpaid
1038,1,A,May,3284,3254,Unpaid
1038,1,A,August,3284,441,Unpaid
1038,1,A,September,3284,3284,Paid
1038,1,A,October,3284,3284,Paid
1038,1,A,November,3284,312,Unpaid
1038,1,A,December,3284,3284,Paid
1038,1,A,January,3284,3284,Paid
1038,1,A,February,3284,3284,Paid
1038,1,A,March,3284,280,Unpaid
1039,1,B,April,3560,1474,Unpaid
1039,1,B,May,3560,1476,Unpaid
1039,1,B,August,3560,2177,Unpaid
1039,1,B,September,3560,3560,Paid
1039,1,B,October,3560,3560,Paid
1039,1,B,November,3560,1158,Unpaid
1039,1,B,December,3560,3560,Paid
1039,1,B,January,3560,3560,Paid
1039,1,B,February,3560,3560,Paid
1039,1,B,March,3560,3560,Paid
1040,1,A,April,4911,4911,Paid
1040,1,A,May,4911,3699,Unpaid
1040,1,A,August,4911,2388,Unpaid
1040,1,A,September,4911,1029,Unpaid
1040,1,A,October,4911,4878,Unpaid
1040,1,A,November,4911,4911,Paid
1040,1,A,December,4911,3680,Unpaid
1040,1,A,January,4911,4911,Paid
1040,1,A,February,4911,4911,Paid
1040,1,A,March,4911,238,Unpaid
1041,1,B,April,4171,1208,Unpaid
1041,1,B,May,4171,4171,Paid
1041,1,B,August,4171,2826,Unpaid
1041,1,B,September,4171,4171,Paid
1041,1,B,October,4171,4171,Paid
1041,1,B,November,4171,4171,Paid
1041,1,B,December,4171,1702,Unpaid
1041,1,B,January,4171,1447,Unpaid
1041,1,B,February,4171,4171,Paid
1041,1,B,March,4171,4171,Paid
1042,1,A,April,2145,793,Unpaid
1042,1,A,May,2145,2145,Paid
1042,1,A,August,2145,2145,Paid
1042,1,A,September,2145,32,Unpaid
1042,1,A,October,2145,2145,Paid
1042,1,A,November,2145,2145,Paid
1042,1,A,December,2145,220,Unpaid
1042,1,A,January,2145,2145,Paid
1042,1,A,February,2145,2145,Paid
1042,1,A,March,2145,2145,Paid
1043,1,A,April,4528,504,Unpaid
1043,1,A,May,4528,3054,Unpaid
1043,1,A,August,4528,4528,Paid
1043,1,A,September,4528,4528,Paid
1043,1,A,October,4528,3371,Unpaid
1043,1,A,November,4528,4528,Paid
1043,1,A,December,4528,2348,Unpaid
1043,1,A,January,4528,4528,Paid
1043,1,A,February,4528,996,Unpaid
1043,1,A,March,4528,2411,Unpaid
1044,1,A,April,4046,1582,Unpaid
1044,1,A,May,4046,1995,Unpaid
1044,1,A,August,4046,4046,Paid
1044,1,A,September,4046,4046,Paid
1044,1,A,October,4046,3476,Unpaid
1044,1,A,November,4046,117,Unpaid
1044,1,A,December,4046,3305,Unpaid
1044,1,A,January,4046,4046,Paid
1044,1,A,February,4046,4046,Paid
1044,1,A,March,4046,563,Unpaid
1045,1,B,April,4102,4102,Paid
1045,1,B,May,4102,4102,Paid
1045,1,B,August,4102,4102,Paid
1045,1,B,September,4102,4102,Paid
1045,1,B,October,4102,2307,Unpaid
1045,1,B,November,4102,3778,Unpaid
1045,1,B,December,4102,4102,Paid
1045,1,B,January,4102,4102,Paid
1045,1,B,February,4102,4102,Paid
1045,1,B,March,4102,4102,Paid
1046,1,A,April,3264,3264,Paid
1046,1,A,May,3264,3264,Paid
1046,1,A,August,3264,3264,Paid
1046,1,A,September,3264,3264,Paid
1046,1,A,October,3264,1788,Unpaid
1046,1,A,November,3264,715,Unpaid
1046,1,A,December,3264,3264,Paid
1046,1,A,January,3264,2933,Unpaid
1046,1,A,February,3264,93,Unpaid
1046,1,A,March,3264,3264,Paid
1047,1,B,April,4694,4694,Paid
1047,1,B,May,4694,4694,Paid
1047,1,B,August,4694,2152,Unpaid
1047,1,B,September,4694,75,Unpaid
1047,1,B,October,4694,3047,Unpaid
1047,1,B,November,4694,4694,Paid
1047,1,B,December,4694,4694,Paid
1047,1,B,January,4694,1908,Unpaid
1047,1,B,February,4694,936,Unpaid
1047,1,B,March,4694,4055,Unpaid
1048,1,B,April,3680,672,Unpaid
1048,1,B,May,3680,3680,Paid
1048,1,B,August,3680,3680,Paid
1048,1,B,September,3680,3680,Paid
1048,1,B,October,3680,3680,Paid
1048,1,B,November,3680,1210,Unpaid
1048,1,B,December,3680,3680,Paid
1048,1,B,January,3680,3680,Paid
1048,1,B,February,3680,1899,Unpaid
1048,1,B,March,3680,3680,Paid
1049,1,A,April,3289,3289,Paid
1049,1,A,May,3289,907,Unpaid
1049,1,A,August,3289,1359,Unpaid
1049,1,A,September,3289,3289,Paid
1049,1,A,October,3289,3289,Paid
1049,1,A,November,3289,2296,Unpaid
1049,1,A,December,3289,906,Unpaid
1049,1,A,January,3289,3289,Paid
1049,1,A,February,3289,3289,Paid
1049,1,A,March,3289,3289,Paid
1050,1,B,April,4102,574,Unpaid
1050,1,B,May,4102,4102,Paid
1050,1,B,August,4102,4102,Paid
1050,1,B,September,4102,4102,Paid
1050,1,B,October,4102,4102,Paid
1050,1,B,November,4102,1633,Unpaid
1050,1,B,December,4102,2178,Unpaid
1050,1,B,January,4102,2031,Unpaid
1050,1,B,February,4102,2444,Unpaid
1050,1,B,March,4102,4102,Paid
1051,1,B,April,3213,2071,Unpaid
1051,1,B,May,3213,3213,Paid
1051,1,B,August,3213,1404,Unpaid
1051,1,B,September,3213,392,Unpaid
1051,1,B,October,3213,2962,Unpaid
1051,1,B,November,3213,3213,Paid
1051,1,B,December,3213,3213,Paid
1051,1,B,January,3213,3036,Unpaid
1051,1,B,February,3213,3213,Paid
1051,1,B,March,3213,3213,Paid
1052,1,B,April,3891,3891,Paid
1052,1,B,May,3891,3891,Paid
1052,1,B,August,3891,3891,Paid
1052,1,B,September,3891,3891,Paid
1052,1,B,October,3891,2517,Unpaid
1052,1,B,November,3891,3273,Unpaid
1052,1,B,December,3891,30,Unpaid
1052,1,B,January,3891,1950,Unpaid
1052,1,B,February,3891,3623,Unpaid
1052,1,B,March,3891,2875,Unpaid
1053,1,B,April,2127,1861,Unpaid
1053,1,B,May,2127,1341,Unpaid
1053,1,B,August,2127,2127,Paid
1053,1,B,September,2127,1211,Unpaid
1053,1,B,October,2127,2127,Paid
1053,1,B,November,2127,1594,Unpaid
1053,1,B,December,2127,1032,Unpaid
1053,1,B,January,2127,2127,Paid
1053,1,B,February,2127,2127,Paid
1053,1,B,March,2127,2127,Paid
1054,1,B,April,2626,2449,Unpaid
1054,1,B,May,2626,667,Unpaid
1054,1,B,August,2626,1601,Unpaid
1054,1,B,September,2626,2626,Paid
1054,1,B,October,2626,1930,Unpaid
1054,1,B,November,2626,2107,Unpaid
1054,1,B,December,2626,581,Unpaid
1054,1,B,January,2626,2346,Unpaid
1054,1,B,February,2626,2626,Paid
1054,1,B,March,2626,2013,Unpaid
1055,1,A,April,3982,863,Unpaid
1055,1,A,May,3982,3982,Paid
1055,1,A,August,3982,3982,Paid
1055,1,A,September,3982,3982,Paid
1055,1,A,October,3982,3982,Paid
1055,1,A,November,3982,3982,Paid
1055,1,A,December,3982,3587,Unpaid
1055,1,A,January,3982,1602,Unpaid
1055,1,A,February,3982,2016,Unpaid
1055,1,A,March,3982,3982,Paid
1056,1,A,April,4580,4580,Paid
1056,1,A,May,4580,1261,Unpaid
1056,1,A,August,4580,3579,Unpaid
1056,1,A,September,4580,3839,Unpaid
1056,1,A,October,4580,308,Unpaid
1056,1,A,November,4580,4580,Paid
1056,1,A,December,4580,4580,Paid
1056,1,A,January,4580,3346,Unpaid
1056,1,A,February,4580,4580,Paid
1056,1,A,March,4580,878,Unpaid
1057,1,A,April,4145,3099,Unpaid
1057,1,A,May,4145,3610,Unpaid
1057,1,A,August,4145,4145,Paid
1057,1,A,September,4145,436,Unpaid
1057,1,A,October,4145,3341,Unpaid
1057,1,A,November,4145,4145,Paid
1057,1,A,December,4145,1307,Unpaid
1057,1,A,January,4145,4145,Paid
1057,1,A,February,4145,4145,Paid
1057,1,A,March,4145,4145,Paid
1058,1,B,April,4507,1497,Unpaid
1058,1,B,May,4507,4507,Paid
1058,1,B,August,4507,458,Unpaid
1058,1,B,September,4507,4507,Paid
1058,1,B,October,4507,4507,Paid
1058,1,B,November,4507,3270,Unpaid
1058,1,B,December,4507,4507,Paid
1058,1,B,January,4507,4507,Paid
1058,1,B,February,4507,231,Unpaid
1058,1,B,March,4507,2879,Unpaid
1059,1,B,April,2166,964,Unpaid
1059,1,B,May,2166,2166,Paid
1059,1,B,August,2166,2166,Paid
1059,1,B,September,2166,131,Unpaid
1059,1,B,October,2166,1648,Unpaid
1059,1,B,November,2166,2166,Paid
1059,1,B,December,2166,1982,Unpaid
1059,1,B,January,2166,2166,Paid
1059,1,B,February,2166,2166,Paid
1059,1,B,March,2166,1885,Unpaid
1060,1,A,April,4346,2365,Unpaid
1060,1,A,May,4346,98,Unpaid
1060,1,A,August,4346,4346,Paid
1060,1,A,September,4346,4092,Unpaid
1060,1,A,October,4346,932,Unpaid
1060,1,A,November,4346,4346,Paid
1060,1,A,December,4346,4346,Paid
1060,1,A,January,4346,3462,Unpaid
1060,1,A,February,4346,1127,Unpaid
1060,1,A,March,4346,93,Unpaid
1061,1,B,April,4430,4430,Paid
1061,1,B,May,4430,4430,Paid
1061,1,B,August,4430,4430,Paid
1061,1,B,September,4430,4430,Paid
1061,1,B,October,4430,1555,Unpaid
1061,1,B,November,4430,1000,Unpaid
1061,1,B,December,4430,4430,Paid
1061,1,B,January,4430,4430,Paid
1061,1,B,February,4430,3649,Unpaid
1061,1,B,March,4430,2150,Unpaid
1062,1,A,April,3718,3718,Paid
1062,1,A,May,3718,573,Unpaid
1062,1,A,August,3718,3718,Paid
1062,1,A,September,3718,2337,Unpaid
1062,1,A,October,3718,2393,Unpaid
1062,1,A,November,3718,2272,Unpaid
1062,1,A,December,3718,751,Unpaid
1062,1,A,January,3718,3718,Paid
1062,1,A,February,3718,3718,Paid
1062,1,A,March,3718,3718,Paid
1063,1,A,April,3753,1658,Unpaid
1063,1,A,May,3753,2746,Unpaid
1063,1,A,August,3753,3523,Unpaid
1063,1,A,September,3753,963,Unpaid
1063,1,A,October,3753,3753,Paid
1063,1,A,November,3753,3753,Paid
1063,1,A,December,3753,2795,Unpaid
1063,1,A,January,3753,3753,Paid
1063,1,A,February,3753,2161,Unpaid
1063,1,A,March,3753,3165,Unpaid
1064,1,B,April,3051,389,Unpaid
1064,1,B,May,3051,3051,Paid
1064,1,B,August,3051,1843,Unpaid
1064,1,B,September,3051,3051,Paid
1064,1,B,October,3051,2056,Unpaid
1064,1,B,November,3051,3051,Paid
1064,1,B,December,3051,3051,Paid
1064,1,B,January,3051,3051,Paid
1064,1,B,February,3051,1383,Unpaid
1064,1,B,March,3051,1287,Unpaid
1065,1,A,April,3416,3416,Paid
1065,1,A,May,3416,347,Unpaid
1065,1,A,August,3416,3416,Paid
1065,1,A,September,3416,3416,Paid
1065,1,A,October,3416,3416,Paid
1065,1,A,November,3416,3416,Paid
1065,1,A,December,3416,3416,Paid
1065,1,A,January,3416,186,Unpaid
1065,1,A,February,3416,3416,Paid
1065,1,A,March,3416,707,Unpaid
1066,1,B,April,2712,2712,Paid
1066,1,B,May,2712,1607,Unpaid
1066,1,B,August,2712,311,Unpaid
1066,1,B,September,2712,1760,Unpaid
1066,1,B,October,2712,2080,Unpaid
1066,1,B,November,2712,1412,Unpaid
1066,1,B,December,2712,2712,Paid
1066,1,B,January,2712,1609,Unpaid
1066,1,B,February,2712,2712,Paid
1066,1,B,March,2712,2712,Paid
1067,1,B,April,4152,4152,Paid
1067,1,B,May,4152,4152,Paid
1067,1,B,August,4152,4152,Paid
1067,1,B,September,4152,4128,Unpaid
1067,1,B,October,4152,4152,Paid
1067,1,B,November,4152,4152,Paid
1067,1,B,December,4152,2578,Unpaid
1067,1,B,January,4152,4152,Paid
1067,1,B,February,4152,4152,Paid
1067,1,B,March,4152,3968,Unpaid
1068,1,B,April,3524,2643,Unpaid
1068,1,B,May,3524,3524,Paid
1068,1,B,August,3524,3524,Paid
1068,1,B,September,3524,735,Unpaid
1068,1,B,October,3524,893,Unpaid
1068,1,B,November,3524,69,Unpaid
1068,1,B,December,3524,3524,Paid
1068,1,B,January,3524,2988,Unpaid
1068,1,B,February,3524,3524,Paid
1068,1,B,March,3524,3524,Paid
1069,1,A,April,4837,4837,Paid
1069,1,A,May,4837,4837,Paid
1069,1,A,August,4837,2514,Unpaid
1069,1,A,September,4837,3289,Unpaid
1069,1,A,October,4837,1278,Unpaid
1069,1,A,November,4837,1856,Unpaid
1069,1,A,December,4837,4837,Paid
1069,1,A,January,4837,2497,Unpaid
1069,1,A,February,4837,4750,Unpaid
1069,1,A,March,4837,3926,Unpaid
1070,1,B,April,3826,455,Unpaid
1070,1,B,May,3826,3396,Unpaid
1070,1,B,August,3826,3826,Paid
1070,1,B,September,3826,218,Unpaid
1070,1,B,October,3826,3826,Paid
1070,1,B,November,3826,3826,Paid
1070,1,B,December,3826,2903,Unpaid
1070,1,B,January,3826,3826,Paid
1070,1,B,February,3826,3826,Paid
1070,1,B,March,3826,583,Unpaid
1071,2,B,April,3036,1583,Unpaid
