Student_ID,Class,Section,Month,Attendance_Percentage
1017,1,A,January,66
1017,1,A,February,61
1017,1,A,March,68
1018,1,B,April,64
1018,1,B,May,62
1018,1,B,August,60
1018,1,B,September,64
1018,1,B,October,67
1018,1,B,November,72
1018,1,B,December,62
1018,1,B,January,65
1018,1,B,February,75
1018,1,B,March,75
1019,1,B,April,71
1019,1,B,May,74
1019,1,B,August,60
1019,1,B,September,72
1019,1,B,October,60
1019,1,B,November,66
1019,1,B,December,64
1019,1,B,January,60
1019,1,B,February,62
1019,1,B,March,70
1020,1,B,April,65
1020,1,B,May,62
1020,1,B,August,70
1020,1,B,September,70
1020,1,B,October,72
1020,1,B,November,68
1020,1,B,December,72
1020,1,B,January,61
1020,1,B,February,64
1020,1,B,March,67
1021,1,B,April,70
1021,1,B,May,71
1021,1,B,August,66
1021,1,B,September,65
1021,1,B,October,65
1021,1,B,November,65
1021,1,B,December,72
1021,1,B,January,68
1021,1,B,February,68
1021,1,B,March,63
1022,1,B,April,94
1022,1,B,May,91
1022,1,B,August,98
1022,1,B,September,93
1022,1,B,October,99
1022,1,B,November,94
1022,1,B,December,96
1022,1,B,January,96
1022,1,B,February,99
1022,1,B,March,95
1023,1,A,April,100
1023,1,A,May,90
1023,1,A,August,98
1023,1,A,September,94
1023,1,A,October,91
1023,1,A,November,98
1023,1,A,December,94
1023,1,A,January,100
1023,1,A,February,93
1023,1,A,March,96
1024,1,A,April,76
1024,1,A,May,87
1024,1,A,August,84
1024,1,A,September,81
1024,1,A,October,76
1024,1,A,November,81
1024,1,A,December,79
1024,1,A,January,89
1024,1,A,February,84
1024,1,A,March,81
1025,1,B,April,71
1025,1,B,May,60
1025,1,B,August,66
1025,1,B,September,69
1025,1,B,October,60
1025,1,B,November,60
1025,1,B,December,67
1025,1,B,January,60
1025,1,B,February,67
1025,1,B,March,60
1026,1,B,April,76
1026,1,B,May,84
1026,1,B,August,76
1026,1,B,September,85
1026,1,B,October,88
1026,1,B,November,79
1026,1,B,December,85
1026,1,B,January,83
1026,1,B,February,83
1026,1,B,March,84
1027,1,A,April,85
1027,1,A,May,85
1027,1,A,August,81
1027,1,A,September,77
1027,1,A,October,76
1027,1,A,November,86
1027,1,A,December,86
1027,1,A,January,77
1027,1,A,February,86
1027,1,A,March,82
1028,1,B,April,84
1028,1,B,May,83
1028,1,B,August,84
1028,1,B,September,86
1028,1,B,October,75
1028,1,B,November,75
1028,1,B,December,89
1028,1,B,January,79
1028,1,B,February,90
1028,1,B,March,83
1029,1,A,April,86
1029,1,A,May,77
1029,1,A,August,88
1029,1,A,September,88
1029,1,A,October,75
1029,1,A,November,84
1029,1,A,December,78
1029,1,A,January,77
1029,1,A,February,78
1029,1,A,March,84
1030,1,B,April,94
1030,1,B,May,100
1030,1,B,August,90
1030,1,B,September,100
1030,1,B,October,97
1030,1,B,November,94
1030,1,B,December,90
1030,1,B,January,95
1030,1,B,February,92
1030,1,B,March,92
1031,1,A,April,86
1031,1,A,May,89
1031,1,A,August,79
1031,1,A,September,86
1031,1,A,October,77
1031,1,A,November,82
1031,1,A,December,75
1031,1,A,January,75
1031,1,A,February,75
1031,1,A,March,81
1032,1,B,April,89
1032,1,B,May,85
1032,1,B,August,80
1032,1,B,September,84
1032,1,B,October,85
1032,1,B,November,85
1032,1,B,December,79
1032,1,B,January,89
1032,1,B,February,85
1032,1,B,March,82
1033,1,A,April,79
1033,1,A,May,88
1033,1,A,August,80
1033,1,A,September,82
1033,1,A,October,89
1033,1,A,November,77
1033,1,A,December,80
1033,1,A,January,89
1033,1,A,February,85
1033,1,A,March,78
1034,1,A,April,82
1034,1,A,May,88
1034,1,A,August,86
1034,1,A,September,84
1034,1,A,October,78
1034,1,A,November,88
1034,1,A,December,81
1034,1,A,January,85
1034,1,A,February,88
1034,1,A,March,90
1035,1,B,April,86
1035,1,B,May,87
1035,1,B,August,77
1035,1,B,September,86
1035,1,B,October,77
1035,1,B,November,76
1035,1,B,December,75
1035,1,B,January,77
1035,1,B,February,76
1035,1,B,March,79
1036,1,A,April,92
1036,1,A,May,98
1036,1,A,August,94
1036,1,A,September,98
1036,1,A,October,97
1036,1,A,November,99
1036,1,A,December,93
1036,1,A,January,90
1036,1,A,February,97
1036,1,A,March,94
1037,1,A,April,81
1037,1,A,May,90
1037,1,A,August,89
1037,1,A,September,87
1037,1,A,October,78
1037,1,A,November,76
1037,1,A,December,82
1037,1,A,January,80
1037,1,A,February,83
1037,1,A,March,90
1038,1,A,April,62
1038,1,A,May,74
1038,1,A,August,67
1038,1,A,September,70
1038,1,A,October,72
1038,1,A,November,70
1038,1,A,December,73
1038,1,A,January,61
1038,1,A,February,65
1038,1,A,March,64
1039,1,B,April,81
1039,1,B,May,85
1039,1,B,August,78
1039,1,B,September,88
1039,1,B,October,90
1039,1,B,November,76
1039,1,B,December,80
1039,1,B,January,86
1039,1,B,February,89
1039,1,B,March,89
1040,1,A,April,93
1040,1,A,May,94
1040,1,A,August,97
1040,1,A,September,95
1040,1,A,October,98
1040,1,A,November,99
1040,1,A,December,91
1040,1,A,January,96
1040,1,A,February,91
1040,1,A,March,99
1041,1,B,April,90
1041,1,B,May,80
1041,1,B,August,81
1041,1,B,September,90
1041,1,B,October,77
1041,1,B,November,82
1041,1,B,December,81
1041,1,B,January,85
1041,1,B,February,80
1041,1,B,March,75
1042,1,A,April,75
1042,1,A,May,73
1042,1,A,August,63
1042,1,A,September,74
1042,1,A,October,68
1042,1,A,November,74
1042,1,A,December,60
1042,1,A,January,72
1042,1,A,February,71
1042,1,A,March,65
1043,1,A,April,97
1043,1,A,May,99
1043,1,A,August,96
1043,1,A,September,91
1043,1,A,October,92
1043,1,A,November,94
1043,1,A,December,100
1043,1,A,January,100
1043,1,A,February,92
1043,1,A,March,92
1044,1,A,April,75
1044,1,A,May,81
1044,1,A,August,79
1044,1,A,September,77
1044,1,A,October,76
1044,1,A,November,78
1044,1,A,December,87
1044,1,A,January,77
1044,1,A,February,84
1044,1,A,March,77
1045,1,B,April,91
1045,1,B,May,97
1045,1,B,August,96
1045,1,B,September,99
1045,1,B,October,94
1045,1,B,November,95
1045,1,B,December,100
1045,1,B,January,92
1045,1,B,February,97
1045,1,B,March,96
1046,1,A,April,66
1046,1,A,May,60
1046,1,A,August,73
1046,1,A,September,71
1046,1,A,October,61
1046,1,A,November,61
1046,1,A,December,69
1046,1,A,January,61
1046,1,A,February,63
1046,1,A,March,62
1047,1,B,April,88
1047,1,B,May,84
1047,1,B,August,86
1047,1,B,September,78
1047,1,B,October,89
1047,1,B,November,89
1047,1,B,December,79
1047,1,B,January,79
1047,1,B,February,83
1047,1,B,March,78
1048,1,B,April,83
1048,1,B,May,75
1048,1,B,August,88
1048,1,B,September,77
1048,1,B,October,79
1048,1,B,November,81
1048,1,B,December,77
1048,1,B,January,83
1048,1,B,February,79
1048,1,B,March,83
1049,1,A,April,91
1049,1,A,May,93
1049,1,A,August,90
1049,1,A,September,93
1049,1,A,October,98
1049,1,A,November,99
1049,1,A,December,97
1049,1,A,January,97
1049,1,A,February,93
1049,1,A,March,91
1050,1,B,April,80
1050,1,B,May,87
1050,1,B,August,86
1050,1,B,September,75
1050,1,B,October,76
1050,1,B,November,89
1050,1,B,December,85
1050,1,B,January,84
1050,1,B,February,76
1050,1,B,March,88
1051,1,B,April,93
1051,1,B,May,91
1051,1,B,August,92
1051,1,B,September,92
1051,1,B,October,95
1051,1,B,November,95
1051,1,B,December,100
1051,1,B,January,95
1051,1,B,February,91
1051,1,B,March,91
1052,1,B,April,99
1052,1,B,May,97
1052,1,B,August,92
1052,1,B,September,96
1052,1,B,October,93
1052,1,B,November,91
1052,1,B,December,97
1052,1,B,January,100
1052,1,B,February,92
1052,1,B,March,97
1053,1,B,April,79
1053,1,B,May,75
1053,1,B,August,87
1053,1,B,September,86
1053,1,B,October,86
1053,1,B,November,78
1053,1,B,December,84
1053,1,B,January,90
1053,1,B,February,81
1053,1,B,March,88
1054,1,B,April,81
1054,1,B,May,88
1054,1,B,August,79
1054,1,B,September,76
1054,1,B,October,80
1054,1,B,November,88
1054,1,B,December,78
1054,1,B,January,81
1054,1,B,February,87
1054,1,B,March,90
1055,1,A,April,79
1055,1,A,May,85
1055,1,A,August,80
1055,1,A,September,81
1055,1,A,October,78
1055,1,A,November,89
1055,1,A,December,76
1055,1,A,January,84
1055,1,A,February,86
1055,1,A,March,76
1056,1,A,April,81
1056,1,A,May,90
1056,1,A,August,84
1056,1,A,September,76
1056,1,A,October,82
1056,1,A,November,83
1056,1,A,December,90
1056,1,A,January,87
1056,1,A,February,82
1056,1,A,March,81
1057,1,A,April,84
1057,1,A,May,89
1057,1,A,August,86
1057,1,A,September,84
1057,1,A,October,81
1057,1,A,November,81
1057,1,A,December,82
1057,1,A,January,77
1057,1,A,February,88
1057,1,A,March,88
1058,1,B,April,86
1058,1,B,May,75
1058,1,B,August,82
1058,1,B,September,80
1058,1,B,October,75
1058,1,B,November,85
1058,1,B,December,79
1058,1,B,January,90
1058,1,B,February,76
1058,1,B,March,75
1059,1,B,April,76
1059,1,B,May,87
1059,1,B,August,89
1059,1,B,September,87
1059,1,B,October,84
1059,1,B,November,82
1059,1,B,December,88
1059,1,B,January,83
1059,1,B,February,80
1059,1,B,March,85
1060,1,A,April,71
1060,1,A,May,63
1060,1,A,August,63
1060,1,A,September,62
1060,1,A,October,60
1060,1,A,November,72
1060,1,A,December,63
1060,1,A,January,63
1060,1,A,February,61
1060,1,A,March,70
1061,1,B,April,82
1061,1,B,May,76
1061,1,B,August,90
1061,1,B,September,82
1061,1,B,October,75
1061,1,B,November,78
1061,1,B,December,87
1061,1,B,January,80
1061,1,B,February,85
1061,1,B,March,89
1062,1,A,April,90
1062,1,A,May,83
1062,1,A,August,84
1062,1,A,September,81
1062,1,A,October,75
1062,1,A,November,89
1062,1,A,December,86
1062,1,A,January,86
1062,1,A,February,84
1062,1,A,March,85
1063,1,A,April,80
1063,1,A,May,81
1063,1,A,August,78
1063,1,A,September,82
1063,1,A,October,89
1063,1,A,November,75
1063,1,A,December,83
1063,1,A,January,80
1063,1,A,February,86
1063,1,A,March,78
1064,1,B,April,70
1064,1,B,May,75
1064,1,B,August,61
1064,1,B,September,74
1064,1,B,October,74
1064,1,B,November,64
1064,1,B,December,64
1064,1,B,January,66
1064,1,B,February,70
1064,1,B,March,63
1065,1,A,April,94
1065,1,A,May,100
1065,1,A,August,90
1065,1,A,September,99
1065,1,A,October,92
1065,1,A,November,100
1065,1,A,December,96
1065,1,A,January,95
1065,1,A,February,91
1065,1,A,March,91
1066,1,B,April,79
1066,1,B,May,75
1066,1,B,August,84
1066,1,B,September,86
1066,1,B,October,81
1066,1,B,November,77
1066,1,B,December,85
1066,1,B,January,89
1066,1,B,February,75
1066,1,B,March,81
1067,1,B,April,67
1067,1,B,May,60
1067,1,B,August,61
1067,1,B,September,68
1067,1,B,October,72
1067,1,B,November,68
1067,1,B,December,70
1067,1,B,January,73
1067,1,B,February,75
1067,1,B,March,75
1068,1,B,April,86
1068,1,B,May,84
1068,1,B,August,87
1068,1,B,September,84
1068,1,B,October,75
1068,1,B,November,81
1068,1,B,December,75
1068,1,B,January,82
1068,1,B,February,89
1068,1,B,March,80
1069,1,A,April,74
1069,1,A,May,73
1069,1,A,August,72
1069,1,A,September,66
1069,1,A,October,74
1069,1,A,November,70
1069,1,A,December,69
1069,1,A,January,67
1069,1,A,February,65
1069,1,A,March,61
1070,1,B,April,88
1070,1,B,May,84
1070,1,B,August,89
1070,1,B,September,76
1070,1,B,October,84
1070,1,B,November,75
1070,1,B,December,85
1070,1,B,January,90
1070,1,B,February,89
1070,1,B,March,81
1071,2,B,April,89
1071,2,B,May,84
1071,2,B,August,85
1071,2,B,September,78
1071,2,B,October,80
1071,2,B,November,76
1071,2,B,December,79
1071,2,B,January,77
1071,2,B,February,75
1071,2,B,March,78
1072,2,B,April,83
1072,2,B,May,77
1072,2,B,August,87
1072,2,B,September,90
1072,2,B,October,85
1072,2,B,November,89
1072,2,B,December,83
1072,2,B,January,80
1072,2,B,February,79
1072,2,B,March,79
1073,2,A,April,76
1073,2,A,May,75
1073,2,A,August,83
1073,2,A,September,83
1073,2,A,October,78
1073,2,A,November,87
1073,2,A,December,88
1073,2,A,January,83
1073,2,A,February,86
1073,2,A,March,89
1074,2,B,April,83
1074,2,B,May,87
1074,2,B,August,88
1074,2,B,September,90
1074,2,B,October,80
1074,2,B,November,77
1074,2,B,December,85
1074,2,B,January,86
1074,2,B,February,83
1074,2,B,March,90
1075,2,A,April,64
1075,2,A,May,65
1075,2,A,August,69
1075,2,A,September,73
1075,2,A,October,75
1075,2,A,November,67
1075,2,A,December,74
1075,2,A,January,71
1075,2,A,February,73
1075,2,A,March,74
1076,2,B,April,68
1076,2,B,May,75
1076,2,B,August,70
1076,2,B,September,60
1076,2,B,October,64
1076,2,B,November,68
1076,2,B,December,72
1076,2,B,January,65
1076,2,B,February,63
1076,2,B,March,73
1077,2,A,April,85
1077,2,A,May,90
1077,2,A,August,76
1077,2,A,September,76
1077,2,A,October,81
1077,2,A,November,78
1077,2,A,December,77
1077,2,A,January,82
1077,2,A,February,80
1077,2,A,March,90
1078,2,B,April,80
1078,2,B,May,80
1078,2,B,August,82
1078,2,B,September,77
1078,2,B,October,90
1078,2,B,November,85
1078,2,B,December,85
1078,2,B,January,78
1078,2,B,February,82
1078,2,B,March,84
1079,2,B,April,80
1079,2,B,May,90
1079,2,B,August,87
1079,2,B,September,89
1079,2,B,October,88
1079,2,B,November,84
1079,2,B,December,77
1079,2,B,January,90
1079,2,B,February,75
1079,2,B,March,90
1080,2,A,April,61
1080,2,A,May,73
1080,2,A,August,66
1080,2,A,September,74
1080,2,A,October,73
1080,2,A,November,68
1080,2,A,December,60
1080,2,A,January,75
1080,2,A,February,64
1080,2,A,March,67
1081,2,B,April,87
1081,2,B,May,87
1081,2,B,August,89
1081,2,B,September,77
1081,2,B,October,82
1081,2,B,November,84
1081,2,B,December,76
1081,2,B,January,86
1081,2,B,February,76
1081,2,B,March,79
1082,2,A,April,96
1082,2,A,May,94
1082,2,A,August,100
1082,2,A,September,91
1082,2,A,October,98
1082,2,A,November,97
1082,2,A,December,92
1082,2,A,January,93
1082,2,A,February,98
1082,2,A,March,99
1083,2,B,April,72
1083,2,B,May,73
1083,2,B,August,73
1083,2,B,September,62
1083,2,B,October,71
1083,2,B,November,65
1083,2,B,December,60
1083,2,B,January,73
1083,2,B,February,69
1083,2,B,March,65
1084,2,B,April,81
1084,2,B,May,80
1084,2,B,August,78
1084,2,B,September,76
1084,2,B,October,78
1084,2,B,November,78
1084,2,B,December,87
1084,2,B,January,88
1084,2,B,February,75
1084,2,B,March,88
1085,2,B,April,84
1085,2,B,May,87
1085,2,B,August,75
1085,2,B,September,82
1085,2,B,October,81
1085,2,B,November,79
1085,2,B,December,79
1085,2,B,January,81
1085,2,B,February,84
1085,2,B,March,89
1086,2,A,April,80
1086,2,A,May,89
1086,2,A,August,75
1086,2,A,September,82
1086,2,A,October,83
1086,2,A,November,90
1086,2,A,December,76
1086,2,A,January,75
1086,2,A,February,84
1086,2,A,March,80
1087,2,A,April,87
1087,2,A,May,76
1087,2,A,August,80
1087,2,A,September,76
1087,2,A,October,82
1087,2,A,November,83
1087,2,A,December,82
1087,2,A,January,84
1087,2,A,February,80
1087,2,A,March,82
1088,2,A,April,66
1088,2,A,May,61
1088,2,A,August,70
1088,2,A,September,72
1088,2,A,October,64
1088,2,A,November,63
1088,2,A,December,63
1088,2,A,January,61
1088,2,A,February,65
1088,2,A,March,66
1089,2,A,April,77
1089,2,A,May,76
1089,2,A,August,82
1089,2,A,September,75
1089,2,A,October,87
1089,2,A,November,77
1089,2,A,December,81
1089,2,A,January,88
1089,2,A,February,84
1089,2,A,March,78
1090,2,B,April,67
1090,2,B,May,66
1090,2,B,August,72
1090,2,B,September,69
1090,2,B,October,61
1090,2,B,November,64
1090,2,B,December,65
1090,2,B,January,61
1090,2,B,February,65
1090,2,B,March,70
1091,2,A,April,90
1091,2,A,May,77
1091,2,A,August,76
1091,2,A,September,76
1091,2,A,October,80
1091,2,A,November,88
1091,2,A,December,80
1091,2,A,January,82
1091,2,A,February,77
1091,2,A,March,79
1092,2,B,April,87
1092,2,B,May,90
1092,2,B,August,85
1092,2,B,September,82
1092,2,B,October,87
1092,2,B,November,79
1092,2,B,December,84
1092,2,B,January,89
1092,2,B,February,83
1092,2,B,March,86
1093,2,A,April,87
1093,2,A,May,78
1093,2,A,August,80
1093,2,A,September,89
1093,2,A,October,84
1093,2,A,November,77
1093,2,A,December,90
1093,2,A,January,87
1093,2,A,February,76
1093,2,A,March,88
1094,2,A,April,88
1094,2,A,May,81
1094,2,A,August,85
1094,2,A,September,86
1094,2,A,October,83
1094,2,A,November,80
1094,2,A,December,75
1094,2,A,January,78
1094,2,A,February,78
1094,2,A,March,90
1095,2,B,April,81
1095,2,B,May,79
1095,2,B,August,77
1095,2,B,September,83
1095,2,B,October,88
1095,2,B,November,78
1095,2,B,December,77
1095,2,B,January,78
1095,2,B,February,81
1095,2,B,March,78
1096,2,A,April,81
1096,2,A,May,84
1096,2,A,August,80
1096,2,A,September,82
1096,2,A,October,78
1096,2,A,November,85
1096,2,A,December,81
1096,2,A,January,76
1096,2,A,February,88
1096,2,A,March,78
1097,2,B,April,75
1097,2,B,May,83
1097,2,B,August,81
1097,2,B,September,80
1097,2,B,October,82
1097,2,B,November,78
1097,2,B,December,80
1097,2,B,January,76
1097,2,B,February,77
1097,2,B,March,84
1098,2,B,April,89
1098,2,B,May,82
1098,2,B,August,86
1098,2,B,September,84
1098,2,B,October,84
1098,2,B,November,87
1098,2,B,December,79
1098,2,B,January,86
1098,2,B,February,89
1098,2,B,March,83
1099,2,B,April,75
1099,2,B,May,78
1099,2,B,August,85
1099,2,B,September,78
1099,2,B,October,90
1099,2,B,November,78
1099,2,B,December,84
1099,2,B,January,81
1099,2,B,February,86
1099,2,B,March,87
1100,2,A,April,64
1100,2,A,May,65
1100,2,A,August,71
1100,2,A,September,62
1100,2,A,October,71
1100,2,A,November,68
1100,2,A,December,60
1100,2,A,January,67
1100,2,A,February,70
1100,2,A,March,73
1101,2,A,April,66
1101,2,A,May,61
1101,2,A,August,63
1101,2,A,September,69
1101,2,A,October,71
1101,2,A,November,63
1101,2,A,December,72
1101,2,A,January,68
1101,2,A,February,75
1101,2,A,March,73
1102,2,B,April,89
1102,2,B,May,83
1102,2,B,August,88
1102,2,B,September,83
1102,2,B,October,89
1102,2,B,November,76
1102,2,B,December,87
1102,2,B,January,79
1102,2,B,February,86
1102,2,B,March,77
1103,2,B,April,69
1103,2,B,May,71
1103,2,B,August,66
1103,2,B,September,60
1103,2,B,October,62
1103,2,B,November,69
1103,2,B,December,65
1103,2,B,January,68
1103,2,B,February,64
1103,2,B,March,62
1104,2,A,April,62
1104,2,A,May,60
1104,2,A,August,75
1104,2,A,September,61
1104,2,A,October,64
1104,2,A,November,67
1104,2,A,December,73
1104,2,A,January,63
1104,2,A,February,70
1104,2,A,March,72
1105,2,A,April,81
1105,2,A,May,82
1105,2,A,August,87
1105,2,A,September,83
1105,2,A,October,85
1105,2,A,November,83
1105,2,A,December,85
1105,2,A,January,75
1105,2,A,February,79
1105,2,A,March,84
1106,2,A,April,81
1106,2,A,May,78
1106,2,A,August,84
1106,2,A,September,77
1106,2,A,October,88
1106,2,A,November,83
1106,2,A,December,85
1106,2,A,January,77
1106,2,A,February,87
1106,2,A,March,80
1107,2,A,April,71
1107,2,A,May,62
1107,2,A,August,60
1107,2,A,September,68
1107,2,A,October,62
1107,2,A,November,65
1107,2,A,December,64
1107,2,A,January,74
1107,2,A,February,75
1107,2,A,March,69
1108,2,A,April,78
1108,2,A,May,84
1108,2,A,August,84
1108,2,A,September,75
1108,2,A,October,80
1108,2,A,November,80
1108,2,A,December,78
1108,2,A,January,78
1108,2,A,February,76
1108,2,A,March,78
1109,2,B,April,78
1109,2,B,May,78
1109,2,B,August,79
1109,2,B,September,78
1109,2,B,October,86
1109,2,B,November,79
1109,2,B,December,76
1109,2,B,January,75
1109,2,B,February,75
1109,2,B,March,78
1110,2,A,April,88
1110,2,A,May,86
1110,2,A,August,88
1110,2,A,September,85
1110,2,A,October,83
1110,2,A,November,87
1110,2,A,December,81
1110,2,A,January,84
1110,2,A,February,83
1110,2,A,March,90
1111,2,A,April,90
1111,2,A,May,78
1111,2,A,August,80
1111,2,A,September,90
1111,2,A,October,89
1111,2,A,November,87
1111,2,A,December,89
1111,2,A,January,80
1111,2,A,February,90
1111,2,A,March,77
1112,2,B,April,76
1112,2,B,May,88
1112,2,B,August,89
1112,2,B,September,85
1112,2,B,October,81
1112,2,B,November,89
1112,2,B,December,88
1112,2,B,January,81
1112,2,B,February,87
1112,2,B,March,77
1113,2,A,April,72
1113,2,A,May,69
1113,2,A,August,72
1113,2,A,September,64
1113,2,A,October,65
1113,2,A,November,61
1113,2,A,December,75
1113,2,A,January,73
1113,2,A,February,66
1113,2,A,March,75
1114,2,B,April,74
1114,2,B,May,68
1114,2,B,August,70
1114,2,B,September,69
1114,2,B,October,64
1114,2,B,November,60
1114,2,B,December,75
1114,2,B,January,65
1114,2,B,February,67
1114,2,B,March,73
1115,2,B,April,95
1115,2,B,May,98
1115,2,B,August,97
1115,2,B,September,98
1115,2,B,October,94
1115,2,B,November,96
1115,2,B,December,97
1115,2,B,January,98
1115,2,B,February,96
1115,2,B,March,99
1116,2,B,April,63
1116,2,B,May,67
1116,2,B,August,68
1116,2,B,September,61
1116,2,B,October,65
1116,2,B,November,64
1116,2,B,December,69
1116,2,B,January,63
1116,2,B,February,60
1116,2,B,March,60
1117,2,B,April,64
1117,2,B,May,62
1117,2,B,August,62
1117,2,B,September,67
1117,2,B,October,73
1117,2,B,November,61
1117,2,B,December,61
1117,2,B,January,70
1117,2,B,February,74
1117,2,B,March,67
1118,2,B,April,71
1118,2,B,May,61
1118,2,B,August,64
1118,2,B,September,74
1118,2,B,October,69
1118,2,B,November,60
1118,2,B,December,69
1118,2,B,January,60
1118,2,B,February,75
1118,2,B,March,64
1119,2,A,April,76
1119,2,A,May,84
1119,2,A,August,90
1119,2,A,September,87
1119,2,A,October,86
1119,2,A,November,75
1119,2,A,December,80
1119,2,A,January,86
1119,2,A,February,76
1119,2,A,March,88
1120,2,B,April,87
1120,2,B,May,76
1120,2,B,August,88
1120,2,B,September,84
1120,2,B,October,87
1120,2,B,November,90
1120,2,B,December,79
1120,2,B,January,87
1120,2,B,February,76
1120,2,B,March,81
1121,2,A,April,97
1121,2,A,May,99
1121,2,A,August,94
1121,2,A,September,91
1121,2,A,October,97
1121,2,A,November,94
1121,2,A,December,95
1121,2,A,January,95
1121,2,A,February,93
1121,2,A,March,99
1122,2,B,April,81
1122,2,B,May,83
1122,2,B,August,86
1122,2,B,September,77
1122,2,B,October,84
1122,2,B,November,82
1122,2,B,December,81
1122,2,B,January,89
1122,2,B,February,83
1122,2,B,March,77
1123,2,A,April,86
1123,2,A,May,89
1123,2,A,August,79
1123,2,A,September,78
1123,2,A,October,80
1123,2,A,November,79
1123,2,A,December,88
1123,2,A,January,83
1123,2,A,February,89
1123,2,A,March,89
1124,2,B,April,69
1124,2,B,May,74
1124,2,B,August,72
1124,2,B,September,66
1124,2,B,October,64
1124,2,B,November,68
1124,2,B,December,64
1124,2,B,January,68
1124,2,B,February,75
1124,2,B,March,69
1125,2,B,April,82
1125,2,B,May,79
1125,2,B,August,89
1125,2,B,September,88
1125,2,B,October,81
1125,2,B,November,77
1125,2,B,December,75
1125,2,B,January,78
1125,2,B,February,80
1125,2,B,March,82
1126,2,B,April,69
1126,2,B,May,66
1126,2,B,August,71
1126,2,B,September,69
1126,2,B,October,65
1126,2,B,November,68
1126,2,B,December,71
1126,2,B,January,71
1126,2,B,February,64
1126,2,B,March,72
1127,2,A,April,84
1127,2,A,May,88
1127,2,A,August,83
1127,2,A,September,88
1127,2,A,October,82
1127,2,A,November,82
1127,2,A,December,90
1127,2,A,January,78
