Student_ID,Teaching_Quality_Rating,Discipline_Rating,Communication_Rating,Fee_Satisfaction,Overall_Satisfaction,Recommendation_Score
1112,3,3,3,3,3.0,6
1113,2,2,1,2,1.75,1
1114,2,4,1,2,2.25,7
1115,4,4,5,5,4.5,9
1116,2,3,1,2,2.0,3
1117,3,2,1,3,2.25,3
1118,2,3,2,1,2.0,3
1119,3,2,4,3,3.0,8
1120,4,4,3,3,3.5,7
1121,5,5,5,4,4.75,10
1122,3,2,4,4,3.25,8
1123,3,3,3,3,3.0,8
1124,2,4,2,3,2.75,3
1125,4,4,3,4,3.75,7
1126,4,2,2,4,3.0,4
1127,4,3,2,4,3.25,8
1128,5,5,5,3,4.5,9
1129,4,2,3,5,3.5,9
1130,2,4,1,2,2.25,5
1131,3,3,2,2,2.5,4
1132,3,5,3,2,3.25,7
1133,3,4,3,4,3.5,5
1134,4,3,2,3,3.0,5
1135,4,4,3,4,3.75,9
1136,5,4,2,4,3.75,8
1137,2,4,3,2,2.75,4
1138,1,2,3,2,2.0,3
1139,5,3,3,4,3.75,7
1140,3,1,1,3,2.0,3
1141,4,4,4,2,3.5,8
1142,4,1,2,1,2.0,7
1143,4,4,2,4,3.5,6
1144,5,3,3,2,3.25,7
1145,3,1,3,1,2.0,4
1146,3,2,1,3,2.25,7
1147,4,4,2,1,2.75,8
1148,2,3,3,3,2.75,5
1149,2,3,1,2,2.0,2
1150,4,5,4,3,4.0,8
1151,4,1,1,2,2.0,1
1152,4,5,4,3,4.0,6
1153,3,2,2,2,2.25,4
1154,3,5,4,2,3.5,9
1155,3,2,1,1,1.75,4
1156,3,2,1,2,2.0,7
1157,3,2,4,2,2.75,7
1158,4,4,4,3,3.75,5
1159,5,5,3,3,4.0,8
1160,5,4,3,3,3.75,5
1161,4,5,3,5,4.25,8
1162,5,4,4,4,4.25,8
1163,5,5,5,5,5.0,8
1164,2,3,3,2,2.5,7
1165,4,3,4,2,3.25,5
1166,3,3,2,2,2.5,2
1167,4,3,3,2,3.0,5
1168,3,5,3,3,3.5,7
1169,4,5,4,3,4.0,8
1170,3,5,4,1,3.25,8
1171,3,4,4,2,3.25,8
1172,5,5,4,4,4.5,9
1173,2,4,1,2,2.25,2
1174,3,4,3,4,3.5,5
1175,5,5,4,5,4.75,10
1176,3,2,4,2,2.75,9
1177,3,4,3,3,3.25,3
1178,4,4,3,3,3.5,9
1179,5,4,3,3,3.75,8
1180,4,3,3,3,3.25,5
1181,4,5,4,5,4.5,10
1182,3,1,2,3,2.25,7
1183,4,4,3,4,3.75,6
1184,5,4,4,3,4.0,6
1185,2,2,3,1,2.0,1
1186,4,4,3,1,3.0,3
1187,4,4,3,5,4.0,6
1188,4,4,2,4,3.5,6
1189,5,5,4,3,4.25,8
1190,4,3,3,4,3.5,7
1191,2,3,1,2,2.0,4
1192,3,4,2,3,3.0,4
1193,4,4,4,4,4.0,8
1194,3,3,3,2,2.75,6
1195,2,5,2,3,3.0,8
1196,2,4,3,2,2.75,1
1197,4,5,4,4,4.25,8
1198,5,4,5,4,4.5,10
1199,3,4,4,1,3.0,9
1200,2,3,1,1,1.75,3
1201,4,5,5,5,4.75,10
1202,3,1,1,2,1.75,4
1203,4,3,4,3,3.5,7
1204,3,4,4,4,3.75,5
1205,4,3,4,1,3.0,7
1206,5,5,4,4,4.5,10
1207,5,3,3,3,3.5,8
1208,5,5,4,5,4.75,10
1209,3,3,2,1,2.25,1
1210,5,4,4,3,4.0,6
1211,2,3,2,2,2.25,4
1212,3,4,3,3,3.25,5
1213,1,2,2,2,1.75,3
1214,3,1,2,2,2.0,2
1215,2,3,2,2,2.25,4
1216,2,3,1,2,2.0,1
1217,4,3,3,3,3.25,8
1218,3,4,4,3,3.5,9
1219,4,5,4,4,4.25,7
1220,3,1,3,2,2.25,6
1221,4,4,2,2,3.0,6
1222,5,4,5,4,4.5,8
1223,3,3,3,1,2.5,7
1224,5,4,3,3,3.75,5
1225,3,4,4,3,3.5,8
1226,2,2,3,1,2.0,6
1227,4,4,4,2,3.5,9
1228,2,3,3,1,2.25,4
1229,4,3,4,4,3.75,6
1230,5,4,5,5,4.75,8
1231,5,5,4,5,4.75,8
1232,4,5,4,4,4.25,8
1233,3,2,1,1,1.75,4
1234,3,2,1,2,2.0,5
1235,4,3,5,5,4.25,9
1236,3,3,3,1,2.5,2
1237,3,4,4,2,3.25,6
1238,3,4,2,3,3.0,9
1239,2,5,4,5,4.0,7
1240,4,4,2,2,3.0,7
1241,3,2,2,3,2.5,1
1242,4,4,4,1,3.25,8
1243,5,4,3,2,3.5,9
1244,5,4,4,3,4.0,8
1245,4,3,4,3,3.5,5
1246,4,3,2,1,2.5,6
1247,3,4,4,4,3.75,8
1248,5,4,5,3,4.25,9
1249,4,3,4,3,3.5,7
1250,3,3,3,2,2.75,8
1251,4,3,4,3,3.5,7
1252,2,2,2,2,2.0,4
1253,4,5,2,2,3.25,5
1254,3,5,2,4,3.5,7
1255,5,4,4,5,4.5,10
1256,2,3,3,1,2.25,3
1257,3,4,3,3,3.25,8
1258,2,3,2,3,2.5,4
1259,2,4,4,2,3.0,8
1260,3,4,3,4,3.5,9
1261,4,3,4,3,3.5,8
1262,5,5,3,5,4.5,9
1263,2,3,3,2,2.5,1
1264,3,3,1,2,2.25,4
1265,3,4,3,3,3.25,8
1266,3,3,4,3,3.25,6
1267,1,4,1,2,2.0,2
1268,3,4,2,5,3.5,6
1269,5,5,5,5,5.0,9
1270,4,3,2,3,3.0,4
1271,5,3,4,3,3.75,7
1272,4,4,3,4,3.75,8
1273,3,3,3,4,3.25,9
1274,3,3,1,3,2.5,2
1275,5,4,4,2,3.75,7
1276,5,3,5,4,4.25,9
1277,3,3,3,1,2.5,7
1278,3,5,2,4,3.5,7
1279,4,4,3,3,3.5,3
1280,3,4,3,3,3.25,7
1281,5,4,5,5,4.75,9
1282,4,3,3,3,3.25,6
1283,1,1,1,2,1.25,4
1284,4,3,3,2,3.0,6
1285,2,3,2,1,2.0,1
1286,5,3,5,2,3.75,10
1287,3,3,2,3,2.75,6
1288,4,2,3,4,3.25,8
1289,5,4,5,4,4.5,9
1290,4,2,1,3,2.5,3
1291,4,4,2,3,3.25,7
1292,4,3,3,3,3.25,5
1293,5,5,4,4,4.5,6
1294,4,5,2,3,3.5,6
1295,3,4,3,3,3.25,7
1296,4,5,4,5,4.5,7
1297,4,3,4,2,3.25,9
1298,4,4,4,4,4.0,8
1299,2,3,2,2,2.25,1
1300,3,4,2,1,2.5,5
1301,3,2,2,2,2.25,5
1302,3,2,1,1,1.75,5
1303,4,3,2,3,3.0,9
1304,3,2,1,2,2.0,4
1305,4,2,4,3,3.25,6
1306,5,5,5,5,5.0,10
1307,5,4,4,4,4.25,9
1308,4,5,3,2,3.5,6
1309,5,5,4,5,4.75,10
1310,5,3,4,3,3.75,8
1311,4,3,3,4,3.5,9
1312,3,4,4,3,3.5,7
1313,4,4,3,2,3.25,7
1314,5,4,4,2,3.75,7
1315,3,4,4,2,3.25,7
1316,5,3,3,4,3.75,8
1317,4,4,2,4,3.5,5
1318,4,3,4,3,3.5,7
1319,3,5,4,2,3.5,7
1320,5,5,4,4,4.5,10
1321,2,4,3,4,3.25,5
1322,3,3,2,1,2.25,4
1323,3,3,2,2,2.5,3
1324,5,3,3,4,3.75,10
1325,3,2,1,2,2.0,3
1326,1,2,2,3,2.0,7
1327,4,4,4,4,4.0,6
1328,5,3,3,3,3.5,6
1329,4,3,2,2,2.75,8
1330,4,3,4,3,3.5,7
1331,5,5,3,4,4.25,7
1332,3,2,4,2,2.75,7
1333,4,3,4,2,3.25,8
1334,3,2,3,3,2.75,6
1335,5,3,3,3,3.5,7
1336,3,4,2,2,2.75,9
1337,5,5,4,4,4.5,7
1338,5,4,4,2,3.75,7
1339,2,3,3,1,2.25,5
1340,3,4,3,4,3.5,8
1341,3,3,3,3,3.0,6
1342,5,4,3,1,3.25,9
1343,3,3,1,2,2.25,4
1344,5,5,5,4,4.75,9
1345,4,4,2,2,3.0,8
1346,1,3,1,1,1.5,2
1347,2,3,2,1,2.0,6
1348,4,2,2,3,2.75,5
1349,4,5,5,4,4.5,9
1350,3,4,2,4,3.25,7
1351,4,5,5,5,4.75,10
1352,5,4,3,3,3.75,8
1353,5,5,3,4,4.25,6
1354,5,4,3,3,3.75,8
1355,5,5,5,5,5.0,9
1356,3,2,3,2,2.5,2
1357,4,4,4,3,3.75,5
1358,4,4,2,1,2.75,3
1359,5,4,3,3,3.75,8
1360,2,3,3,1,2.25,2
1361,3,3,3,4,3.25,8
1362,4,3,4,2,3.25,9
1363,3,4,3,3,3.25,5
1364,5,3,4,2,3.5,8
1365,4,3,3,2,3.0,7
1366,4,5,4,4,4.25,8
1367,5,4,5,5,4.75,9
1368,4,5,4,5,4.5,9
1369,5,3,3,3,3.5,8
1370,2,4,2,3,2.75,5
1371,5,2,4,4,3.75,7
1372,3,2,3,2,2.5,5
1373,4,4,3,4,3.75,9
1374,4,3,3,4,3.5,5
1375,5,5,4,3,4.25,9
1376,2,1,1,3,1.75,1
1377,4,5,4,3,4.0,5
1378,5,4,2,3,3.5,9
1379,3,4,2,2,2.75,3
1380,2,2,3,2,2.25,6
1381,4,4,3,5,4.0,6
1382,3,3,3,4,3.25,9
1383,5,5,5,3,4.5,8
1384,3,1,1,1,1.5,7
1385,5,4,5,5,4.75,8
1386,2,2,3,2,2.25,6
1387,5,4,3,3,3.75,9
1388,3,1,2,2,2.0,6
1389,4,4,4,2,3.5,6
1390,5,5,5,5,5.0,10
1391,5,5,5,3,4.5,10
1392,1,3,2,1,1.75,3
1393,5,4,3,4,4.0,10
1394,4,4,5,5,4.5,10
1395,4,4,2,2,3.0,9
1396,4,3,1,2,2.5,1
1397,2,4,3,3,3.0,7
1398,3,4,3,4,3.5,8
1399,5,5,4,5,4.75,8
1400,5,5,5,5,5.0,10
1401,3,4,3,2,3.0,8
1402,4,3,3,2,3.0,9
1403,3,3,2,3,2.75,8
1404,4,5,4,5,4.5,10
1405,5,4,5,4,4.5,10
1406,2,4,4,3,3.25,5
1407,2,2,1,4,2.25,4
1408,3,5,3,4,3.75,8
1409,3,5,3,2,3.25,7
1410,3,3,3,3,3.0,3
1411,3,3,2,3,2.75,6
1412,5,4,3,3,3.75,6
1413,4,4,3,3,3.5,9
1414,5,5,4,4,4.5,7
1415,3,5,4,3,3.75,7
1416,4,3,4,2,3.25,9
1417,3,4,2,3,3.0,4
1418,3,3,4,2,3.0,7
1419,5,5,5,4,4.75,10
1420,4,4,4,4,4.0,6
1421,4,5,4,1,3.5,9
1422,4,4,4,1,3.25,7
1423,4,4,2,2,3.0,7
1424,3,5,2,3,3.25,8
1425,3,2,4,5,3.5,8
1426,4,4,4,4,4.0,8
1427,4,2,3,3,3.0,5
1428,2,1,3,2,2.0,1
1429,5,4,3,3,3.75,10
1430,4,5,4,4,4.25,8
1431,3,4,2,2,2.75,3
1432,4,5,4,3,4.0,8
1433,5,5,4,4,4.5,10
1434,4,3,4,4,3.75,8
1435,3,3,1,3,2.5,3
1436,3,3,4,2,3.0,8
1437,5,3,4,5,4.25,7
1438,1,2,3,2,2.0,2
1439,5,3,4,3,3.75,7
1440,5,2,4,2,3.25,7
1441,4,2,3,4,3.25,8
1442,5,4,4,4,4.25,6
1443,3,4,4,3,3.5,7
1444,4,4,3,3,3.5,7
1445,3,4,3,5,3.75,9
1446,4,5,3,3,3.75,8
1447,3,3,4,3,3.25,7
1448,5,5,4,5,4.75,8
1449,3,4,3,4,3.5,5
1450,2,3,3,2,2.5,7
1451,3,1,2,3,2.25,4
1452,3,2,3,2,2.5,4
1453,2,4,4,2,3.0,6
1454,3,4,3,3,3.25,7
1455,2,3,4,4,3.25,8
1456,5,4,4,3,4.0,7
1457,3,3,3,4,3.25,7
1458,4,4,3,2,3.25,4
1459,1,2,1,1,1.25,2
1460,3,3,2,2,2.5,6
1461,4,4,3,3,3.5,9
1462,4,3,1,1,2.25,1
1463,4,3,4,3,3.5,6
1464,3,3,4,3,3.25,7
1465,2,3,3,4,3.0,5
1466,5,4,4,3,4.0,9
1467,5,5,4,4,4.5,7
1468,3,4,3,3,3.25,8
1469,4,5,5,5,4.75,10
1470,4,5,4,1,3.5,7
1471,4,4,3,2,3.25,8
1472,1,2,3,1,1.75,4
1473,3,3,4,3,3.25,5
1474,2,4,4,2,3.0,6
1475,5,5,2,4,4.0,7
1476,4,4,4,4,4.0,7
1477,4,3,3,3,3.25,8
1478,3,5,2,3,3.25,6
1479,1,2,3,1,1.75,7
1480,5,5,5,5,5.0,8
1481,4,5,4,3,4.0,7
1482,5,4,5,4,4.5,9
1483,3,2,2,4,2.75,7
1484,2,4,3,2,2.75,5
1485,3,5,3,3,3.5,7
1486,3,4,2,3,3.0,7
1487,3,5,3,3,3.5,7
1488,4,5,5,3,4.25,10
1489,5,5,4,3,4.25,10
1490,4,5,4,5,4.5,8
1491,5,3,5,5,4.5,8
1492,5,3,4,5,4.25,8
1493,3,4,3,2,3.0,9
1494,3,3,2,2,2.5,5
1495,5,4,5,3,4.25,9
1496,5,5,4,5,4.75,7
1497,4,3,3,4,3.5,8
1498,1,4,1,2,2.0,7
1499,2,3,3,2,2.5,7
1500,1,3,3,3,2.5,2
1501,5,4,3,2,3.5,9
1502,2,2,3,3,2.5,5
1503,3,4,3,2,3.0,5
1504,3,3,3,2,2.75,7
1505,3,4,3,3,3.25,8
1506,4,5,4,3,4.0,8
1507,2,2,3,1,2.0,3
1508,2,4,1,1,2.0,2
1509,4,4,4,3,3.75,7
1510,3,4,3,2,3.0,8
1511,4,2,2,4,3.0,6
1512,4,4,4,4,4.0,5
1513,3,4,4,4,3.75,7
1514,5,5,2,3,3.75,9
1515,5,3,3,4,3.75,8
1516,4,2,3,2,2.75,7
1517,4,5,3,3,3.75,9
1518,2,4,2,3,2.75,9
1519,3,4,4,2,3.25,7
1520,4,4,3,5,4.0,5
1521,4,2,3,3,3.0,6
1522,3,4,4,4,3.75,8
1523,3,4,3,4,3.5,4
1524,4,4,3,2,3.25,7
1525,5,4,3,3,3.75,7
1526,5,5,5,3,4.5,10
1527,4,4,4,2,3.5,8
1528,2,3,3,1,2.25,7
1529,3,2,2,1,2.0,2
1530,3,4,4,4,3.75,8
1531,3,3,3,2,2.75,7
1532,4,5,4,2,3.75,9
1533,5,5,5,5,5.0,8
1534,3,3,1,3,2.5,5
1535,5,5,5,5,5.0,10
1536,3,4,3,2,3.0,6
1537,5,5,5,3,4.5,7
1538,2,3,4,3,3.0,7
1539,2,2,2,2,2.0,2
1540,4,3,3,5,3.75,8
1541,4,4,3,4,3.75,8
1542,4,5,4,2,3.75,6
1543,5,4,5,5,4.75,9
1544,3,4,3,2,3.0,8
1545,3,4,3,3,3.25,8
1546,4,4,4,4,4.0,8
1547,3,4,3,1,2.75,9
1548,3,3,4,4,3.5,6
1549,5,3,3,3,3.5,5
1550,3,3,4,2,3.0,9
1551,4,4,4,2,3.5,9
1552,4,4,4,2,3.5,6
1553,4,4,2,4,3.5,8
1554,4,2,4,2,3.0,8
1555,5,4,2,2,3.25,8
1556,3,3,4,5,3.75,9
1557,3,3,3,2,2.75,4
1558,4,4,3,3,3.5,7
1559,4,5,3,1,3.25,5
1560,4,5,4,3,4.0,6
1561,3,5,4,3,3.75,6
1562,4,3,3,2,3.0,8
1563,4,4,3,2,3.25,8
1564,4,2,3,2,2.75,9
1565,3,4,2,4,3.25,7
1566,5,3,4,3,3.75,8
1567,3,4,2,3,3.0,9
1568,5,5,5,4,4.75,7
1569,2,1,1,1,1.25,5
1570,4,3,2,3,3.0,8
1571,1,4,2,3,2.5,4
1572,3,3,3,2,2.75,3
1573,4,5,5,5,4.75,9
1574,3,5,4,3,3.75,8
1575,4,4,2,2,3.0,8
1576,5,3,3,2,3.25,8
1577,4,4,5,3,4.0,8
1578,4,4,4,1,3.25,5
1579,4,4,4,3,3.75,9
1580,4,4,3,3,3.5,6
1581,3,2,1,1,1.75,3
1582,4,5,4,3,4.0,6
1583,4,5,4,5,4.5,10
1584,4,5,3,4,4.0,5
1585,3,5,4,4,4.0,9
1586,3,3,2,2,2.5,6
1587,3,3,3,2,2.75,9
1588,4,3,4,3,3.5,6
1589,3,3,3,3,3.0,5
1590,5,3,3,4,3.75,6
1591,3,4,4,3,3.5,7
1592,3,4,3,3,3.25,5
1593,3,5,2,4,3.5,7
1594,5,5,5,4,4.75,9
1595,3,4,3,1,2.75,2
1596,4,4,3,3,3.5,7
1597,4,3,3,4,3.5,6
1598,5,3,3,3,3.5,7
1599,4,3,3,3,3.25,8
1600,4,3,3,3,3.25,6
1601,5,3,4,4,4.0,7
1602,4,3,2,2,2.75,8
1603,3,4,3,3,3.25,9
1604,3,2,4,5,3.5,8
1605,3,4,3,1,2.75,7
1606,2,3,3,3,2.75,9
1607,5,5,5,3,4.5,9
1608,4,3,2,3,3.0,2
1609,3,3,3,2,2.75,9
1610,4,2,2,2,2.5,7
